voice,tmean,Time_s,F0_Hz
40,246.165140748091,247.495198,107.657309
40,246.165140748091,247.505198,107.10836
40,246.165140748091,247.515198,107.414935
40,246.165140748091,247.525198,107.267903
40,246.165140748091,247.535198,107.115463
40,246.165140748091,247.545198,106.829555
40,246.165140748091,247.555198,106.649489
40,246.165140748091,247.565198,106.271769
40,246.165140748091,247.575198,106.674825
40,246.165140748091,247.585198,107.003125
40,246.165140748091,247.595198,107.135378
40,246.165140748091,247.605198,106.686676
40,246.165140748091,247.615198,108.796801
40,246.165140748091,247.625198,108.664834
40,246.165140748091,247.635198,108.574479
40,246.165140748091,247.645198,108.531162
40,246.165140748091,247.655198,106.718202
40,246.165140748091,247.665198,107.127592
40,246.165140748091,247.675198,104.186412
40,246.165140748091,247.685198,104.376623
40,246.165140748091,247.695198,105.081744
40,246.165140748091,247.705198,105.872572
40,246.165140748091,247.715198,106.374333
40,246.165140748091,247.725198,106.010975
40,246.165140748091,247.735198,105.648014
40,246.165140748091,247.745198,105.769358
40,246.165140748091,247.755198,105.346889
40,246.165140748091,247.765198,105.246071
40,246.165140748091,247.775198,104.454754
40,246.165140748091,247.785198,107.024428
40,246.165140748091,247.795198,109.042385
40,246.165140748091,247.805198,108.833518
40,246.165140748091,247.815198,106.963041
40,246.165140748091,247.825198,103.94766
40,246.165140748091,247.835198,102.43921
40,246.165140748091,247.845198,101.170127
40,246.165140748091,247.885198,124.080562
40,246.165140748091,247.895198,114.544596
40,246.165140748091,247.905198,116.028425
40,246.165140748091,247.915198,113.869605
40,246.165140748091,247.925198,113.114295
40,246.165140748091,247.935198,112.647558
40,246.165140748091,247.945198,112.819001
40,246.165140748091,247.955198,113.235824
40,246.165140748091,247.965198,113.474456
40,246.165140748091,247.975198,115.473311
40,246.165140748091,247.985198,118.388145
40,246.165140748091,247.995198,118.95656
40,246.165140748091,248.005198,120.414102
40,246.165140748091,248.015198,120.811566
40,246.165140748091,248.025198,120.423899
40,246.165140748091,248.035198,120.525518
40,246.165140748091,248.045198,121.083445
40,246.165140748091,248.055198,121.001582
40,246.165140748091,248.065198,120.447946
40,246.165140748091,248.075198,119.900628
40,246.165140748091,248.085198,119.796421
40,246.165140748091,248.095198,120.212153
40,246.165140748091,248.105198,120.778078
40,246.165140748091,248.115198,121.329966
40,246.165140748091,248.125198,120.702657
40,246.165140748091,248.135198,119.153409
40,246.165140748091,248.145198,115.512037
40,246.165140748091,248.155198,115.425362
40,246.165140748091,248.165198,118.153313
40,246.165140748091,248.175198,117.943236
40,246.165140748091,248.185198,117.12779
40,246.165140748091,248.195198,116.493293
40,246.165140748091,248.205198,115.232508
40,246.165140748091,248.215198,113.166201
40,246.165140748091,248.225198,110.117025
40,246.165140748091,248.235198,108.532234
40,246.165140748091,248.245198,111.608435
